provider,status,n_models,detail,key,model_id,tier,mvr
gemini,ok,61,,,,,
groq,unreachable,0,"Client error '401 Unauthorized' for url 'https://api.groq.com/openai/v1/models'
For more information check: https://deve",,,,
mistral,ok,46,,,,,
nvidia,ok,82,,,,,
ollama,ok,0,,,,,
openrouter,ok,458,,,,,
-,-,,,,,,
claude_sdk,,,,haiku45,haiku,M,True
-,,,,llama31_8b,UNAVAILABLE,M,True
-,,,,llama33_70b,UNAVAILABLE,L,True
-,,,,llama4_scout,UNAVAILABLE,L,False
-,,,,qwen3_32b,UNAVAILABLE,M,True
-,,,,gptoss_20b,UNAVAILABLE,M,True
-,,,,gptoss_120b,UNAVAILABLE,L,False
gemini,,,,gemini_flash,gemini-flash-latest,L,True
gemini,,,,gemma,gemma-4-31b-it,M,True
mistral,,,,mistral_small,mistral-small-latest,M,True
-,,,,ollama_llama2_7b,UNAVAILABLE,S,False
-,,,,ollama_llama3_8b,UNAVAILABLE,M,False
-,,,,ollama_qwen25_7b,UNAVAILABLE,M,False
-,,,,ollama_llama32_3b,UNAVAILABLE,S,False
