model,condition,seed,survived,collapse_month,total_catch,gini,n_fines,fine_accuracy,n_exclusions,final_lake,rule_emerged,rule_first_month
random,N,1,False,1,100.0,0.24,0,,0,0.0,False,
random,N,2,False,2,117.0,0.2513274336283186,1,1.0,0,0.0,False,
random,N,3,False,2,127.0,0.2146341463414634,1,0.0,0,0.0,False,
random,N,4,False,2,125.0,0.2272,0,,0,0.0,False,
haiku,A,1,True,,240,0.06333333333333334,0,,0,100.0,False,
haiku,A,1,True,,240,0.06333333333333334,0,,0,100.0,False,
haiku,A,1,False,3,151.0,0.6754966887417219,0,,0,0.0,False,
haiku,A,2,False,1,100.0,0.752,0,,0,0.0,False,
haiku,A,3,False,1,100.0,0.8,0,,0,0.0,False,
haiku,B,1,False,1,100.0,0.0,0,,0,0.0,False,
haiku,B,2,False,1,100.0,0.0,0,,0,0.0,False,
haiku,B,3,False,1,100.0,0.0,0,,0,0.0,False,
haiku,C,1,False,2,105.0,0.11358024691358025,6,1.0,0,0.0,False,
haiku,C,2,False,2,105.0,0.11764705882352941,5,1.0,0,0.0,False,
haiku,C,3,False,2,110.0,0.2896551724137931,13,1.0,0,0.0,False,
haiku,D,1,True,,560,0.013877551020408163,22,1.0,1,100.0,False,
haiku,D,2,False,2,122.0,0.6882882882882883,3,1.0,0,0.0,False,
haiku,D,3,False,1,100.0,0.796,0,,0,0.0,False,
