model,cond,seed,round,coop_rate
haiku,control,1,1,1.0
haiku,control,1,2,1.0
haiku,control,1,3,1.0
haiku,control,1,4,1.0
haiku,control,1,5,1.0
haiku,control,1,6,1.0
haiku,control,1,7,1.0
haiku,control,1,8,1.0
haiku,control,1,9,1.0
haiku,control,1,10,1.0
haiku,control,1,11,1.0
haiku,control,1,12,1.0
haiku,control,3,1,0.875
haiku,control,3,2,0.875
haiku,control,3,3,1.0
haiku,control,3,4,1.0
haiku,control,3,5,1.0
haiku,control,3,6,1.0
haiku,control,3,7,1.0
haiku,control,3,8,1.0
haiku,control,3,9,1.0
haiku,control,3,10,1.0
haiku,control,3,11,1.0
haiku,control,3,12,1.0
haiku,control,2,1,1.0
haiku,control,2,2,1.0
haiku,control,2,3,1.0
haiku,control,2,4,1.0
haiku,control,2,5,1.0
haiku,control,2,6,1.0
haiku,control,2,7,1.0
haiku,control,2,8,1.0
haiku,control,2,9,1.0
haiku,control,2,10,1.0
haiku,control,2,11,1.0
haiku,control,2,12,1.0
haiku,control,4,1,1.0
haiku,control,4,2,1.0
haiku,control,4,3,1.0
haiku,control,4,4,1.0
haiku,control,4,5,1.0
haiku,control,4,6,1.0
haiku,control,4,7,1.0
haiku,control,4,8,1.0
haiku,control,4,9,1.0
haiku,control,4,10,1.0
haiku,control,4,11,1.0
haiku,control,4,12,1.0
haiku,invasion,1,1,1.0
haiku,invasion,1,2,0.857
haiku,invasion,1,3,0.857
haiku,invasion,1,4,0.857
haiku,invasion,1,5,0.857
haiku,invasion,1,6,1.0
haiku,invasion,1,7,1.0
haiku,invasion,1,8,0.857
haiku,invasion,1,9,1.0
haiku,invasion,1,10,0.714
haiku,invasion,1,11,1.0
haiku,invasion,1,12,0.857
haiku,invasion,2,1,1.0
haiku,invasion,2,2,0.857
haiku,invasion,2,3,1.0
haiku,invasion,2,4,0.857
haiku,invasion,2,5,0.857
haiku,invasion,2,6,0.857
haiku,invasion,2,7,0.857
haiku,invasion,2,8,0.857
haiku,invasion,2,9,0.857
haiku,invasion,2,10,0.857
haiku,invasion,2,11,1.0
haiku,invasion,2,12,1.0
haiku,invasion,3,1,1.0
haiku,invasion,3,2,1.0
haiku,invasion,3,3,1.0
haiku,invasion,3,4,1.0
haiku,invasion,3,5,1.0
haiku,invasion,3,6,1.0
haiku,invasion,3,7,1.0
haiku,invasion,3,8,1.0
haiku,invasion,3,9,0.857
haiku,invasion,3,10,0.857
haiku,invasion,3,11,0.857
haiku,invasion,3,12,0.857
haiku,invasion,4,1,1.0
haiku,invasion,4,2,1.0
haiku,invasion,4,3,1.0
haiku,invasion,4,4,1.0
haiku,invasion,4,5,1.0
haiku,invasion,4,6,1.0
haiku,invasion,4,7,1.0
haiku,invasion,4,8,1.0
haiku,invasion,4,9,1.0
haiku,invasion,4,10,1.0
haiku,invasion,4,11,0.857
haiku,invasion,4,12,1.0
