interv,seed,coop_rate,mutual_coop,first_defection_round
control,1,1.0,1.0,16
control,2,1.0,1.0,16
control,3,1.0,1.0,16
control,4,1.0,1.0,16
control,5,1.0,1.0,16
manyrounds,1,1.0,1.0,16
manyrounds,2,1.0,1.0,16
manyrounds,3,1.0,1.0,16
manyrounds,4,1.0,1.0,16
manyrounds,5,1.0,1.0,16
retaliate,1,1.0,1.0,16
retaliate,2,1.0,1.0,16
retaliate,3,1.0,1.0,16
retaliate,4,1.0,1.0,16
retaliate,5,1.0,1.0,16
universalize,1,1.0,1.0,16
universalize,2,1.0,1.0,16
universalize,3,1.0,1.0,16
universalize,4,1.0,1.0,16
universalize,5,1.0,1.0,16
firstmover,1,1.0,1.0,16
firstmover,2,1.0,1.0,16
firstmover,3,1.0,1.0,16
firstmover,4,1.0,1.0,16
firstmover,5,1.0,1.0,16
golden,1,1.0,1.0,16
golden,2,1.0,1.0,16
golden,3,1.0,1.0,16
golden,4,1.0,1.0,16
golden,5,1.0,1.0,16
selfish,1,0.033,0.0,1
selfish,2,0.267,0.2,2
selfish,3,0.033,0.0,1
selfish,4,0.1,0.0,1
selfish,5,0.067,0.0,1
oneshot,1,0.067,0.0,1
oneshot,2,0.0,0.0,1
oneshot,3,0.0,0.0,1
oneshot,4,0.033,0.0,1
oneshot,5,0.133,0.067,2
