model,cond,eps,K,seed,mean_model_payoff,invader_payoff,invasion_fitness,coop_vs_invader_post,exploit_payoff
haiku,noise,0.0,6,1,33.9,32,-1.9,0.333,14
haiku,noise,0.0,6,2,33.9,36,2.1,0.5,18
haiku,noise,0.0,6,3,34,32,-2,0.333,14
haiku,noise,0.15,6,1,33.7,33,-0.7,0.5,18
haiku,noise,0.15,6,2,33.9,32,-1.9,0.333,14
haiku,noise,0.15,6,3,30.7,29,-1.7,0.333,14
haiku,noise,0.3,6,1,27.9,37,9.1,0.667,22
haiku,noise,0.3,6,2,28,32,4,0.333,14
haiku,noise,0.3,6,3,32.1,29,-3.1,0.333,14
haiku,noise,0.5,6,1,27,27,0,0.5,18
haiku,noise,0.5,6,2,27.3,29,1.7,0.333,14
haiku,noise,0.5,6,3,25.7,18,-7.7,0,6
haiku,forge,0.0,6,1,33.4,48,14.6,1,30
haiku,forge,0.0,6,2,33.4,48,14.6,1,30
haiku,forge,0.0,6,3,33.4,48,14.6,1,30
