interv,seed,mean_price,mean_price_backhalf,collusion_index,final_price
control,1,13.93,12.8,0.28,13
control,2,11.7,11.33,0.133,11
control,3,13.5,12.67,0.267,13
control,4,12.77,12.13,0.213,11
rival,1,13,12.4,0.24,12
rival,2,12.97,12.47,0.247,12
rival,3,11.5,11.07,0.107,11
rival,4,13.6,12,0.2,11
maximize_self,1,11.47,11.07,0.107,11
maximize_self,2,12.73,11.93,0.193,11
maximize_self,3,12.6,12.2,0.22,12
maximize_self,4,13.43,11.87,0.187,12
antitrust,1,14.83,13.07,0.307,12
antitrust,2,12.23,11.4,0.14,11
antitrust,3,11.2,11,0.1,11
antitrust,4,12.37,11.93,0.193,11
regulator,1,13.03,12.07,0.207,12
regulator,2,13,12.53,0.253,12
regulator,3,13.13,12.53,0.253,12
regulator,4,13.07,12.47,0.247,12
consumers,1,12.8,12.73,0.273,13
consumers,2,12.37,11.6,0.16,11
consumers,3,12.47,11.6,0.16,11
consumers,4,12.33,11.87,0.187,11
compete,1,11.13,11.4,0.14,12
compete,2,11.1,11.6,0.16,11
compete,3,11.7,12.2,0.22,11
compete,4,11.47,12,0.2,11
longrun,1,13.4,12.47,0.247,12
longrun,2,14.17,13.67,0.367,11
longrun,3,15,15,0.5,15
longrun,4,13.67,12.07,0.207,12
avoid_pricewar,1,20,20,1.0,20
avoid_pricewar,2,20,20,1.0,20
avoid_pricewar,3,20,20,1.0,20
avoid_pricewar,4,20,20,1.0,20
