model,opp,seed,coop_rate,round1_coop,retaliation,forgiveness,model_score,opp_score
haiku,AllC,2,1.0,1,,,45,45
haiku,AllC,3,1.0,1,,,45,45
haiku,AllD,3,0.133,1,0.929,,13,23
haiku,TFT,2,1.0,1,,,45,45
haiku,TFT,1,1.0,1,,,45,45
haiku,AllC,1,1.0,1,,,45,45
haiku,AllD,1,0.133,1,0.929,,13,23
haiku,GRIM,2,1.0,1,,,45,45
haiku,GRIM,1,1.0,1,,,45,45
haiku,TFT,3,1.0,1,,,45,45
haiku,Random,3,0.533,1,0.571,0.75,32,37
haiku,AllD,2,0.133,1,0.929,,13,23
haiku,GRIM,3,1.0,1,,,45,45
haiku,Random,1,0.267,1,1.0,0.4,38,23
haiku,Random,2,0.733,1,0.25,0.333,40,40
