model,mode,K,seed,mean_model_payoff,invader_payoff,invasion_fitness,coop_vs_invader_pre,coop_vs_invader_post,exploit_payoff
haiku,window,3,1,32.1,30,-2.1,1,0.333,21
haiku,window,3,2,33.1,26,-7.1,1,0.222,17
haiku,window,3,3,32.9,30,-2.9,1,0.333,21
haiku,window,6,1,33.7,36,2.3,1,0.5,18
haiku,window,6,2,33.9,36,2.1,1,0.5,18
haiku,window,6,3,34,32,-2,1,0.333,14
haiku,window,9,1,34.7,42,7.3,1,1,15
haiku,window,9,2,34.7,42,7.3,1,1,15
haiku,window,9,3,34.9,38,3.1,1,0.667,11
haiku,onestrike,3,1,25.7,26,0.3,1,0.222,17
haiku,onestrike,3,2,25.9,22,-3.9,1,0.111,13
haiku,onestrike,3,3,26,26,0,1,0.222,17
haiku,onestrike,6,1,30.3,28,-2.3,1,0.167,10
haiku,onestrike,6,2,31,28,-3,1,0.167,10
haiku,onestrike,6,3,31.1,28,-3.1,1,0.167,10
haiku,onestrike,9,1,34.9,34,-0.9,1,0.333,7
haiku,onestrike,9,2,27.6,38,10.4,1,0.667,11
haiku,onestrike,9,3,34.7,38,3.3,1,0.667,11
