model,cond,f0,seed,gen,defector_frac
haiku,anon,1,1,0,0.125
haiku,anon,1,1,1,0.125
haiku,anon,1,1,2,0.125
haiku,anon,1,1,3,0.25
haiku,anon,1,1,4,0.25
haiku,anon,1,1,5,0.375
haiku,anon,1,1,6,0.375
haiku,anon,1,1,7,0.375
haiku,anon,1,1,8,0.25
haiku,anon,1,3,0,0.125
haiku,anon,1,3,1,0.125
haiku,anon,1,3,2,0.25
haiku,anon,1,3,3,0.375
haiku,anon,1,3,4,0.5
haiku,anon,1,3,5,0.625
haiku,anon,1,3,6,0.75
haiku,anon,1,3,7,0.875
haiku,anon,1,3,8,0.875
haiku,anon,1,2,0,0.125
haiku,anon,1,2,1,0.25
haiku,anon,1,2,2,0.25
haiku,anon,1,2,3,0.25
haiku,anon,1,2,4,0.25
haiku,anon,1,2,5,0.25
haiku,anon,1,2,6,0.375
haiku,anon,1,2,7,0.375
haiku,anon,1,2,8,0.5
haiku,anon,3,1,0,0.375
haiku,anon,3,1,1,0.375
haiku,anon,3,1,2,0.5
haiku,anon,3,1,3,0.5
haiku,anon,3,1,4,0.75
haiku,anon,3,1,5,0.75
haiku,anon,3,1,6,0.75
haiku,anon,3,1,7,0.75
haiku,anon,3,1,8,0.75
haiku,anon,3,3,0,0.375
haiku,anon,3,3,1,0.5
haiku,anon,3,3,2,0.75
haiku,anon,3,3,3,0.75
haiku,anon,3,3,4,0.75
haiku,anon,3,3,5,0.75
haiku,anon,3,3,6,0.75
haiku,anon,3,3,7,0.75
haiku,anon,3,3,8,0.75
haiku,anon,3,2,0,0.375
haiku,anon,3,2,1,0.5
haiku,anon,3,2,2,0.625
haiku,anon,3,2,3,0.75
haiku,anon,3,2,4,0.75
haiku,anon,3,2,5,0.75
haiku,anon,3,2,6,0.75
haiku,anon,3,2,7,0.75
haiku,anon,3,2,8,0.75
haiku,reputation,1,1,0,0.125
haiku,reputation,1,1,1,0.125
haiku,reputation,1,1,2,0.125
haiku,reputation,1,1,3,0.0
haiku,reputation,1,1,4,0.0
haiku,reputation,1,1,5,0.0
haiku,reputation,1,1,6,0.0
haiku,reputation,1,1,7,0.0
haiku,reputation,1,1,8,0.0
haiku,reputation,1,2,0,0.125
haiku,reputation,1,2,1,0.125
haiku,reputation,1,2,2,0.125
haiku,reputation,1,2,3,0.125
haiku,reputation,1,2,4,0.0
haiku,reputation,1,2,5,0.0
haiku,reputation,1,2,6,0.0
haiku,reputation,1,2,7,0.0
haiku,reputation,1,2,8,0.0
haiku,reputation,1,3,0,0.125
haiku,reputation,1,3,1,0.125
haiku,reputation,1,3,2,0.125
haiku,reputation,1,3,3,0.125
haiku,reputation,1,3,4,0.125
haiku,reputation,1,3,5,0.125
haiku,reputation,1,3,6,0.125
haiku,reputation,1,3,7,0.125
haiku,reputation,1,3,8,0.125
haiku,reputation,3,1,0,0.375
haiku,reputation,3,1,1,0.5
haiku,reputation,3,1,2,0.375
haiku,reputation,3,1,3,0.375
haiku,reputation,3,1,4,0.375
haiku,reputation,3,1,5,0.125
haiku,reputation,3,1,6,0.125
haiku,reputation,3,1,7,0.125
haiku,reputation,3,1,8,0.125
haiku,reputation,3,2,0,0.375
haiku,reputation,3,2,1,0.5
haiku,reputation,3,2,2,0.5
haiku,reputation,3,2,3,0.5
haiku,reputation,3,2,4,0.375
haiku,reputation,3,2,5,0.375
haiku,reputation,3,2,6,0.375
haiku,reputation,3,2,7,0.375
haiku,reputation,3,2,8,0.375
haiku,reputation,3,3,0,0.375
haiku,reputation,3,3,1,0.375
haiku,reputation,3,3,2,0.25
haiku,reputation,3,3,3,0.125
haiku,reputation,3,3,4,0.125
haiku,reputation,3,3,5,0.125
haiku,reputation,3,3,6,0.125
haiku,reputation,3,3,7,0.125
haiku,reputation,3,3,8,0.125
