model,K,seed,coop_start,coop_end,coop_mean,mean_model_payoff,invader_payoff,invasion_fitness,coop_vs_invader_pre,coop_vs_invader_post,exploit_payoff,invader_rep_at_betrayal
haiku,3,1,1.0,1.0,0.976,32.4,46,13.6,1,0.778,37,1.0
haiku,3,2,1.0,0.857,0.964,32.6,42,9.4,1,0.667,33,1.0
haiku,3,3,1.0,0.857,0.964,32.6,42,9.4,1,0.667,33,1.0
haiku,3,4,1.0,0.857,0.964,32.6,42,9.4,1,0.667,33,1.0
haiku,6,1,1.0,1.0,0.988,33.6,44,10.4,1,0.833,26,1.0
haiku,6,2,1.0,1.0,0.988,33.3,48,14.7,1,1,30,1.0
haiku,6,3,1.0,1.0,1.0,33.4,48,14.6,1,1,30,1.0
haiku,6,4,1.0,1.0,1.0,33.4,48,14.6,1,1,30,1.0
haiku,9,1,1.0,1.0,1.0,34.7,42,7.3,1,1,15,1.0
haiku,9,2,1.0,1.0,1.0,34.7,42,7.3,1,1,15,1.0
haiku,9,3,1.0,1.0,1.0,34.7,42,7.3,1,1,15,1.0
haiku,9,4,1.0,1.0,1.0,34.7,42,7.3,1,1,15,1.0
