model,K,seed,round,coop_rate
haiku,3,1,1,1.0
haiku,3,1,2,1.0
haiku,3,1,3,1.0
haiku,3,1,4,1.0
haiku,3,1,5,1.0
haiku,3,1,6,1.0
haiku,3,1,7,1.0
haiku,3,1,8,0.857
haiku,3,1,9,1.0
haiku,3,1,10,1.0
haiku,3,1,11,0.857
haiku,3,1,12,1.0
haiku,3,2,1,1.0
haiku,3,2,2,1.0
haiku,3,2,3,1.0
haiku,3,2,4,1.0
haiku,3,2,5,1.0
haiku,3,2,6,1.0
haiku,3,2,7,1.0
haiku,3,2,8,1.0
haiku,3,2,9,0.857
haiku,3,2,10,0.857
haiku,3,2,11,1.0
haiku,3,2,12,0.857
haiku,3,3,1,1.0
haiku,3,3,2,1.0
haiku,3,3,3,1.0
haiku,3,3,4,1.0
haiku,3,3,5,1.0
haiku,3,3,6,1.0
haiku,3,3,7,0.857
haiku,3,3,8,1.0
haiku,3,3,9,1.0
haiku,3,3,10,0.857
haiku,3,3,11,1.0
haiku,3,3,12,0.857
haiku,3,4,1,1.0
haiku,3,4,2,1.0
haiku,3,4,3,1.0
haiku,3,4,4,1.0
haiku,3,4,5,1.0
haiku,3,4,6,1.0
haiku,3,4,7,1.0
haiku,3,4,8,1.0
haiku,3,4,9,0.857
haiku,3,4,10,1.0
haiku,3,4,11,0.857
haiku,3,4,12,0.857
haiku,6,1,1,1.0
haiku,6,1,2,1.0
haiku,6,1,3,1.0
haiku,6,1,4,1.0
haiku,6,1,5,1.0
haiku,6,1,6,1.0
haiku,6,1,7,1.0
haiku,6,1,8,1.0
haiku,6,1,9,1.0
haiku,6,1,10,1.0
haiku,6,1,11,0.857
haiku,6,1,12,1.0
haiku,6,2,1,1.0
haiku,6,2,2,0.857
haiku,6,2,3,1.0
haiku,6,2,4,1.0
haiku,6,2,5,1.0
haiku,6,2,6,1.0
haiku,6,2,7,1.0
haiku,6,2,8,1.0
haiku,6,2,9,1.0
haiku,6,2,10,1.0
haiku,6,2,11,1.0
haiku,6,2,12,1.0
haiku,6,3,1,1.0
haiku,6,3,2,1.0
haiku,6,3,3,1.0
haiku,6,3,4,1.0
haiku,6,3,5,1.0
haiku,6,3,6,1.0
haiku,6,3,7,1.0
haiku,6,3,8,1.0
haiku,6,3,9,1.0
haiku,6,3,10,1.0
haiku,6,3,11,1.0
haiku,6,3,12,1.0
haiku,6,4,1,1.0
haiku,6,4,2,1.0
haiku,6,4,3,1.0
haiku,6,4,4,1.0
haiku,6,4,5,1.0
haiku,6,4,6,1.0
haiku,6,4,7,1.0
haiku,6,4,8,1.0
haiku,6,4,9,1.0
haiku,6,4,10,1.0
haiku,6,4,11,1.0
haiku,6,4,12,1.0
haiku,9,1,1,1.0
haiku,9,1,2,1.0
haiku,9,1,3,1.0
haiku,9,1,4,1.0
haiku,9,1,5,1.0
haiku,9,1,6,1.0
haiku,9,1,7,1.0
haiku,9,1,8,1.0
haiku,9,1,9,1.0
haiku,9,1,10,1.0
haiku,9,1,11,1.0
haiku,9,1,12,1.0
haiku,9,2,1,1.0
haiku,9,2,2,1.0
haiku,9,2,3,1.0
haiku,9,2,4,1.0
haiku,9,2,5,1.0
haiku,9,2,6,1.0
haiku,9,2,7,1.0
haiku,9,2,8,1.0
haiku,9,2,9,1.0
haiku,9,2,10,1.0
haiku,9,2,11,1.0
haiku,9,2,12,1.0
haiku,9,3,1,1.0
haiku,9,3,2,1.0
haiku,9,3,3,1.0
haiku,9,3,4,1.0
haiku,9,3,5,1.0
haiku,9,3,6,1.0
haiku,9,3,7,1.0
haiku,9,3,8,1.0
haiku,9,3,9,1.0
haiku,9,3,10,1.0
haiku,9,3,11,1.0
haiku,9,3,12,1.0
haiku,9,4,1,1.0
haiku,9,4,2,1.0
haiku,9,4,3,1.0
haiku,9,4,4,1.0
haiku,9,4,5,1.0
haiku,9,4,6,1.0
haiku,9,4,7,1.0
haiku,9,4,8,1.0
haiku,9,4,9,1.0
haiku,9,4,10,1.0
haiku,9,4,11,1.0
haiku,9,4,12,1.0
