run_id,model,phase,seed,minority_p,n_committed,n_rounds,convention_round,initial_top_name,initial_top_share,initial_distribution,final_top_name,final_top_share,flipped,flip_round,minority_name,n_unparsed_total,n_calls_total
haiku-s0-p1,haiku,1,0,,,24,10,opal,0.4167,"{""fjord"": 3, ""opal"": 10, ""ember"": 10, ""quartz"": 1}",opal,1.0,,,,0,576
haiku-s1-p1,haiku,1,1,,,24,11,opal,0.5,"{""fjord"": 2, ""ember"": 8, ""opal"": 12, ""lumen"": 1, ""cinder"": 1}",opal,1.0,,,,0,576
haiku-s2-p1,haiku,1,2,,,24,10,opal,0.5,"{""opal"": 12, ""ember"": 9, ""quartz"": 1, ""fjord"": 1, ""cinder"": 1}",opal,1.0,,,,0,576
haiku-s0-p1,haiku,1,0,,,24,10,opal,0.4167,"{""fjord"": 3, ""opal"": 10, ""ember"": 10, ""quartz"": 1}",opal,1.0,,,,0,576
haiku-s1-p1,haiku,1,1,,,24,11,opal,0.5,"{""fjord"": 2, ""ember"": 8, ""opal"": 12, ""lumen"": 1, ""cinder"": 1}",opal,1.0,,,,0,576
haiku-s0-p2-lvl5,haiku,2,0,0.05,1,8,,opal,0.9583,"{""opal"": 23, ""kelp"": 1}",opal,0.9583,False,,kelp,0,192
haiku-s0-p2-lvl15,haiku,2,0,0.15,4,8,,opal,0.8333,"{""opal"": 20, ""kelp"": 4}",opal,0.8333,False,,kelp,0,192
haiku-s0-p1,haiku,1,0,,,24,10,opal,0.4167,"{""fjord"": 3, ""opal"": 10, ""ember"": 10, ""quartz"": 1}",opal,1.0,,,,0,576
haiku-s1-p1,haiku,1,1,,,24,11,opal,0.5,"{""fjord"": 2, ""ember"": 8, ""opal"": 12, ""lumen"": 1, ""cinder"": 1}",opal,1.0,,,,0,576
haiku-s0-p1,haiku,1,0,,,24,10,opal,0.4167,"{""fjord"": 3, ""opal"": 10, ""ember"": 10, ""quartz"": 1}",opal,1.0,,,,0,576
haiku-s1-p1,haiku,1,1,,,24,11,opal,0.5,"{""fjord"": 2, ""ember"": 8, ""opal"": 12, ""lumen"": 1, ""cinder"": 1}",opal,1.0,,,,0,576
haiku-s0-p1,haiku,1,0,,,24,10,opal,0.4167,"{""fjord"": 3, ""opal"": 10, ""ember"": 10, ""quartz"": 1}",opal,1.0,,,,0,576
haiku-s1-p1,haiku,1,1,,,24,11,opal,0.5,"{""fjord"": 2, ""ember"": 8, ""opal"": 12, ""lumen"": 1, ""cinder"": 1}",opal,1.0,,,,0,576
haiku-s0-p2-lvl25,haiku,2,0,0.25,6,8,,opal,0.75,"{""opal"": 18, ""kelp"": 6}",opal,0.75,False,,kelp,0,192
haiku-s0-p2-lvl35,haiku,2,0,0.35,8,8,,opal,0.6667,"{""opal"": 16, ""kelp"": 8}",opal,0.5833,False,,kelp,0,192
